Episode,Score,Duration
950,310,4.969
951,170,2.9
952,310,5.074
953,630,4.855
954,200,2.72
955,320,4.804
956,270,4.709
957,420,4.197
958,460,6.606
959,380,3.564
960,310,3.597
961,500,3.757
962,340,4.266
963,210,2.881
964,340,5.067
965,310,2.634
966,350,6.658
967,510,3.635
968,430,5.075
969,290,6.257
970,340,3.573
971,560,4.629
972,260,3.088
973,220,4.124
974,270,4.125
975,430,6.597
976,350,5.071
977,390,7.897
978,280,3.624
979,230,4.421
980,410,4.204
981,670,5.344
982,310,2.692
983,300,5.906
984,260,3.705
985,260,6.688
986,230,3.748
987,440,4.064
988,430,3.576
989,430,4.217
990,260,2.855
991,370,3.474
992,210,3.619
993,440,3.199
994,490,3.406
995,550,3.309
996,390,4.041
997,500,4.647
998,270,3.302
999,320,5.533
1000,550,5.103
1001,190,2.834
1002,380,2.887
1003,720,5.584
1004,420,3.995
1005,300,4.005
1006,380,5.502
1007,510,5.107
1008,400,2.87
1009,160,3.532
1010,380,2.981
1011,470,3.583
1012,390,3.487
1013,430,4.302
1014,510,5.024
1015,370,4.223
1016,320,4.334
1017,400,5.838
1018,400,4.073
1019,280,3.021
1020,370,4.337
1021,510,4.806
1022,480,3.775
1023,260,3.543
1024,340,2.991
1025,440,4.783
1026,550,5.685
1027,400,4.096
1028,520,3.977
1029,210,3.506
1030,260,3.563
1031,430,4.363
1032,170,3.415
1033,280,3.458
1034,490,4.421
1035,670,4.453
1036,330,3.405
1037,400,4.096
1038,300,2.227
1039,400,3.957
1040,530,3.748
1041,470,4.086
1042,290,2.42
1043,340,4.029
1044,270,4.104
1045,400,4.056
1046,200,2.776
1047,330,3.576
1048,450,2.76
1049,550,6.063
1050,440,5.467
1051,130,2.842
1052,430,3.684
1053,500,4.718
1054,330,4.25
1055,420,2.942
1056,120,2.671
1057,480,4.288
1058,320,2.727
1059,200,3.441
1060,330,3.615
1061,450,2.744
1062,340,3.406
1063,340,3.564
1064,320,3.348
1065,410,3.119
1066,230,2.627
1067,670,5.755
1068,290,4.286
1069,320,3.112
1070,420,4.043
1071,460,4.767
1072,390,2.875
1073,260,2.953
1074,350,2.708
1075,200,2.923
1076,340,3.594
1077,390,3.009
1078,590,3.901
1079,310,3.571
1080,480,3.594
1081,420,2.543
1082,520,3.659
1083,250,3.497
1084,440,3.694
1085,200,2.805
